tipo_despesa,divisoes_cnae,nota
Publicidade por materiais impressos,00 13 14 16 17 18 20 22 25 26 32 46 47 58 59 62 63 70 73 74 77 78 82 84 90 94,"Grafica (18), papel (17), edicao (58), tecido para bandeira e camiseta (13, 14), PVC de banner (22), placas de metal ou madeira (25, 16), brinde e pro"
Publicidade por adesivos,00 13 14 17 18 20 22 25 26 32 45 46 47 58 62 63 70 73 74 77 78 82 84 94,"Mesma base do impresso, mais 45 porque plotagem de veiculo costuma sair de oficina ou concessionaria."
Publicidade por jornais e revistas,00 18 46 47 58 59 60 61 62 63 70 73 74 77 78 82 84 90 94,Edicao de jornal e revista fica em 58; portal de noticias cai em 63; agencia que intermedeia em 73.
Publicidade por carros de som,00 26 27 29 32 33 43 45 46 47 49 59 60 62 63 70 73 74 77 78 82 84 90 93 94 95,"Junta locacao de veiculo e de equipamento de som (77, 49, 45) com fabricacao, instalacao e reparo de som (26, 27, 33, 43, 95) e produtora de audio (59"
"Produção de programas de rádio, televisão ou vídeo",00 18 26 27 32 46 47 58 59 60 61 62 63 70 73 74 77 78 82 84 90 93 94,"Produtora audiovisual (59), emissora (60), telecom e streaming (61), artistas e tecnicos (90)."
"Produção de jingles, vinhetas e slogans",00 18 32 46 47 58 59 60 61 62 63 70 73 74 77 78 82 84 90 93 94,Estudio de gravacao e edicao de musica ficam em 59; musico e locutor em 90.
Despesa com Impulsionamento de Conteúdos,00 46 47 58 59 60 61 62 63 64 66 70 73 74 77 78 82 84 94,"Plataforma e portal em 63, TI em 62, agencia em 73; 64 e 66 entram porque o pagamento as vezes sai por gateway ou intermediador."
Criação e inclusão de páginas na internet,00 46 47 58 59 61 62 63 70 71 73 74 77 78 82 84 94,"Desenvolvimento e hospedagem (62, 63), design e conteudo (73, 74), edicao de software (58)."
Atividades de militância e mobilização de rua,00 10 11 13 14 16 18 22 25 32 45 46 47 49 52 55 56 58 59 60 62 63 68 70 73 74 77 78 79 80 81 82 84 85 88 90 93 94 96,"Rubrica guarda-chuva na pratica: paga gente, camiseta, transporte, agua e comida do dia de rua. Lista deliberadamente larga, so o absurdo escancarado "
Cessão ou locação de veículos,00 29 30 45 46 47 49 50 51 52 62 63 70 73 74 77 78 79 82 84 94,"Locadora fica em 77, transportadora e fretamento em 49, concessionaria e oficina em 45, agencia de viagem em 79."
Combustíveis e lubrificantes,00 19 20 35 45 46 47 49 52 62 63 70 73 74 77 78 82 84 94,"Posto de combustivel e varejo (47), distribuidora e atacado (46), refino e biocombustivel (19), lubrificante quimico (20)."
Despesas com transporte ou deslocamento,00 45 46 47 49 50 51 52 53 55 62 63 70 73 74 77 78 79 82 84 94,"Cobre taxi e app (49), aereo (51), aquaviario (50), apoio e estacionamento (52), agencia de viagem (79)."
Passagem Aérea,00 46 47 49 50 51 52 62 63 70 73 74 77 78 79 82 84 94,"Companhia aerea (51), agencia e consolidadora (79), plataforma de venda online (63, 62)."
Despesas com Hospedagem,00 46 47 55 56 62 63 68 70 73 74 77 78 79 81 82 84 94,"Hotel e pousada (55), plataforma de reserva (63, 79), aluguel de temporada por imobiliaria (68)."
Alimentação,00 10 11 46 47 55 56 62 63 70 73 74 77 78 82 84 94,"Restaurante e buffet (56), industria de alimento e bebida (10, 11), mercado e atacado (46, 47), hotel (55)."
