uf,cargo,teto_centavos,cargo_nome,fonte,data
BR,1,8894403080,Presidente da Republica,https://sintse.tse.jus.br/documentos/2026/Jul/21/diario-da-justica-eletronico-tse/anexo-portaria-no-449-de-20-de-julho-de-2026,2026-07-20
AC,3,355776123,Governador,https://sintse.tse.jus.br/documentos/2026/Jul/21/diario-da-justica-eletronico-tse/anexo-portaria-no-449-de-20-de-julho-de-2026,2026-07-20
AL,3,711552246,Governador,https://sintse.tse.jus.br/documentos/2026/Jul/21/diario-da-justica-eletronico-tse/anexo-portaria-no-449-de-20-de-julho-de-2026,2026-07-20
AM,3,711552246,Governador,https://sintse.tse.jus.br/documentos/2026/Jul/21/diario-da-justica-eletronico-tse/anexo-portaria-no-449-de-20-de-julho-de-2026,2026-07-20
AP,3,355776123,Governador,https://sintse.tse.jus.br/documentos/2026/Jul/21/diario-da-justica-eletronico-tse/anexo-portaria-no-449-de-20-de-julho-de-2026,2026-07-20
BA,3,1778880616,Governador,https://sintse.tse.jus.br/documentos/2026/Jul/21/diario-da-justica-eletronico-tse/anexo-portaria-no-449-de-20-de-julho-de-2026,2026-07-20
CE,3,1156272400,Governador,https://sintse.tse.jus.br/documentos/2026/Jul/21/diario-da-justica-eletronico-tse/anexo-portaria-no-449-de-20-de-julho-de-2026,2026-07-20
DF,3,711552246,Governador,https://sintse.tse.jus.br/documentos/2026/Jul/21/diario-da-justica-eletronico-tse/anexo-portaria-no-449-de-20-de-julho-de-2026,2026-07-20
ES,3,711552246,Governador,https://sintse.tse.jus.br/documentos/2026/Jul/21/diario-da-justica-eletronico-tse/anexo-portaria-no-449-de-20-de-julho-de-2026,2026-07-20
GO,3,1156272400,Governador,https://sintse.tse.jus.br/documentos/2026/Jul/21/diario-da-justica-eletronico-tse/anexo-portaria-no-449-de-20-de-julho-de-2026,2026-07-20
MA,3,1156272400,Governador,https://sintse.tse.jus.br/documentos/2026/Jul/21/diario-da-justica-eletronico-tse/anexo-portaria-no-449-de-20-de-julho-de-2026,2026-07-20
MG,3,1778880616,Governador,https://sintse.tse.jus.br/documentos/2026/Jul/21/diario-da-justica-eletronico-tse/anexo-portaria-no-449-de-20-de-julho-de-2026,2026-07-20
MS,3,622608216,Governador,https://sintse.tse.jus.br/documentos/2026/Jul/21/diario-da-justica-eletronico-tse/anexo-portaria-no-449-de-20-de-julho-de-2026,2026-07-20
MT,3,711552246,Governador,https://sintse.tse.jus.br/documentos/2026/Jul/21/diario-da-justica-eletronico-tse/anexo-portaria-no-449-de-20-de-julho-de-2026,2026-07-20
PA,3,1156272400,Governador,https://sintse.tse.jus.br/documentos/2026/Jul/21/diario-da-justica-eletronico-tse/anexo-portaria-no-449-de-20-de-julho-de-2026,2026-07-20
PB,3,711552246,Governador,https://sintse.tse.jus.br/documentos/2026/Jul/21/diario-da-justica-eletronico-tse/anexo-portaria-no-449-de-20-de-julho-de-2026,2026-07-20
