uf,cargo,teto_centavos,cargo_nome,fonte,data
BR,1,4447201540,Presidente da Republica - acrescimo 2o turno,https://sintse.tse.jus.br/documentos/2026/Jul/21/diario-da-justica-eletronico-tse/anexo-portaria-no-449-de-20-de-julho-de-2026,2026-07-20
AC,3,177888062,Governador - acrescimo 2o turno,https://sintse.tse.jus.br/documentos/2026/Jul/21/diario-da-justica-eletronico-tse/anexo-portaria-no-449-de-20-de-julho-de-2026,2026-07-20
AL,3,355776123,Governador - acrescimo 2o turno,https://sintse.tse.jus.br/documentos/2026/Jul/21/diario-da-justica-eletronico-tse/anexo-portaria-no-449-de-20-de-julho-de-2026,2026-07-20
AM,3,355776123,Governador - acrescimo 2o turno,https://sintse.tse.jus.br/documentos/2026/Jul/21/diario-da-justica-eletronico-tse/anexo-portaria-no-449-de-20-de-julho-de-2026,2026-07-20
AP,3,177888062,Governador - acrescimo 2o turno,https://sintse.tse.jus.br/documentos/2026/Jul/21/diario-da-justica-eletronico-tse/anexo-portaria-no-449-de-20-de-julho-de-2026,2026-07-20
BA,3,889440308,Governador - acrescimo 2o turno,https://sintse.tse.jus.br/documentos/2026/Jul/21/diario-da-justica-eletronico-tse/anexo-portaria-no-449-de-20-de-julho-de-2026,2026-07-20
CE,3,578136200,Governador - acrescimo 2o turno,https://sintse.tse.jus.br/documentos/2026/Jul/21/diario-da-justica-eletronico-tse/anexo-portaria-no-449-de-20-de-julho-de-2026,2026-07-20
DF,3,355776123,Governador - acrescimo 2o turno,https://sintse.tse.jus.br/documentos/2026/Jul/21/diario-da-justica-eletronico-tse/anexo-portaria-no-449-de-20-de-julho-de-2026,2026-07-20
ES,3,355776123,Governador - acrescimo 2o turno,https://sintse.tse.jus.br/documentos/2026/Jul/21/diario-da-justica-eletronico-tse/anexo-portaria-no-449-de-20-de-julho-de-2026,2026-07-20
GO,3,578136200,Governador - acrescimo 2o turno,https://sintse.tse.jus.br/documentos/2026/Jul/21/diario-da-justica-eletronico-tse/anexo-portaria-no-449-de-20-de-julho-de-2026,2026-07-20
MA,3,578136200,Governador - acrescimo 2o turno,https://sintse.tse.jus.br/documentos/2026/Jul/21/diario-da-justica-eletronico-tse/anexo-portaria-no-449-de-20-de-julho-de-2026,2026-07-20
